Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C17, C18, C19, C2, C25, C26, C27, C31, C32, C42, C43, C46, C60, C63, C67, C7, C70, C72, C73, C75, C76, C77, C79, C81",0402,25,100n,
"C10, C11, C12, C38, C39, C44, C45, C9",0603,8,1n,
"C13, C14, C15, C16, C22, C23",1206,6,1u,
"C20, C21, C47, C48",0402,4,22p,
"C24, C28, C29, C30, C35, C65, C74, C78, C8, C80",0603,10,10u,
C3,0402,1,150p,
"C33, C34, C49, C50, C51, C52",1206,6,10u,
"C36, C37",0603,2,3n3,
C4,0603,1,5n6,
"C40, C41",0805,2,39n,
"C5, C6",0402,2,27p,
"C53, C54, C55, C56, C57, C58",0805,6,1u,
"C59, C62, C66, C69",0402,4,1u,
"C61, C64, C68, C71",0402,4,10n,
"D1, D2",D_SOD-323_HandSoldering,2,STS321033U202,
"D10, D12, D13, D14, D3",0603,5,LED,
D11,D_SOD-323_HandSoldering,1,STS321360U351,
"D4, D5, D8, D9",SOT-23-3,4,STS232150B251,
"D6, D7",SOT-363_SC-70-6_Handsoldering,2,"BAT54XY,115",
"FB1, FB2, FB3",0603,3,MFBW1V3216-102-R,
"H1, H2, H3, H4",MountingHole_3.2mm_M3_ISO7380,4,MountingHole,
"J1, J4",PinHeader_1x04_P1.27mm_Vertical,2,Header,
J10,PinHeader_1x02_P1.27mm_Vertical,1,Header,
J11,IDC-Header_2x05_P2.54mm_Horizontal,1,Programming,
"J12, J13",Jack_XLR_Neutrik_NC3FAAH2_Horizontal,2,NC3FAAH2,
"J14, J15",Jack_XLR_Neutrik_NC3MAAH_Horizontal,2,NC3MAAH,
J16,BarrelJack_CUI_PJ-079BH_Horizontal,1,Barrel_Jack_Switch,
"J2, J3",PinHeader_2x09_P1.27mm_Vertical,2,Header,
"J5, J6",PinHeader_2x05_P1.27mm_Vertical,2,Header,
"J7, J9",PinHeader_2x03_P1.27mm_Vertical,2,Header,
J8,PinHeader_2x04_P1.27mm_Vertical,1,Header,
"JP1, JP2",SolderJumper-3_P1.3mm_Bridged12_RoundedPad1.0x1.5mm,2,Jumper,
"JP3, JP4",SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,2,Jumper,
"JP5, JP6",SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,2,Jumper,
Q1,TO-252-2,1,NSS1C300ET4G,
"Q2, Q3",SOT-23,2,MMBT3904,
"R1, R10, R11, R12, R17, R2, R24, R25, R26, R27, R3, R4, R40, R41, R42, R5, R6, R7, R71, R8, R9",0402,21,100R,
R13,0402,1,100k,DNP
"R14, R16, R19",0402,3,1k,
"R15, R28, R29, R30, R31",0402,5,100k,
R18,0603,1,4k3,
"R20, R21, R22, R23",0402,4,1Meg,
"R32, R33, R34, R35, R36, R37, R38, R39, R43, R56, R57, R58, R59",0402,13,4k7,
"R44, R45, R46, R48",0603,4,5k9,
"R47, R49",0603,2,5k11,
"R50, R51, R52, R54",0603,4,1k33,
"R53, R55",0603,2,909R,
"R60, R61, R62, R63",0402,4,10R,
R64,0603,1,130R,
R65,0603,1,390R,
R66,0402,1,470R,
R67,0402,1,1k2,
R68,0402,1,120R,
R69,0603,1,196R,
R70,0402,1,150R,
R72,0603,1,500m,
SW1,TS-1187A-B-A-B,1,TS-1187A-B-A-B,
SW2,CJS-1201TB,1,CJS-1201TB,
"TP1, TP2",TestPoint_Keystone_5019_Minature,2,TestPoint,
U1,ADAU1463,1,ADAU1463,
"U10, U11, U4, U5, U6, U9",SOIC-8_3.9x4.9mm_P1.27mm,6,NE5532,
"U12, U13",TO-252-2,2,LM317_TO-252,
U2,SOT-143_Handsoldering,1,ADM811,
U3,SOIC-8_3.9x4.9mm_P1.27mm,1,M95M01-R,
U7,TSSOP-14_4.4x5mm_P0.65mm,1,PCM1808,
U8,SSOP-16_3.9x4.9mm_P0.635mm,1,PCM1754,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,830105957509,
