Designator,Mid X,Mid Y,Rotation,Layer
C1,188.25,-72.500001,0.0,top
C10,126.75,-128.25,0.0,top
C11,136.75,-117.25,180.0,top
C12,126.75,-117.25,0.0,top
C13,138.25,-130.25,180.0,top
C14,125.25,-130.25,0.0,top
C15,138.25,-115.25,180.0,top
C16,125.25,-115.25,0.0,top
C17,133.75,-109.25,180.0,top
C18,134.5,-128.75,90.0,top
C19,135.25,-124.75,90.0,top
C2,179.5,-72.75,180.0,top
C20,132.75,-128.25,0.0,top
C21,132.75,-117.25,0.0,top
C22,139.0,-119.75,0.0,top
C23,139.0,-125.25,0.0,top
C24,145.0,-138.5,180.0,top
C25,145.75,-137.0,180.0,top
C26,148.0,-137.0,0.0,top
C27,143.75,-135.0,90.0,top
C28,148.75,-138.5,0.0,top
C29,142.5,-135.0,90.0,top
C3,182.44239,-126.656854,45.0,top
C30,148.5,-87.5,0.0,top
C31,148.5,-89.25,0.0,top
C32,146.5,-97.75,180.0,top
C33,141.0,-56.995406,180.0,top
C34,139.25,-93.25,180.0,top
C35,146.0,-99.0,180.0,top
C36,138.25,-54.995406,180.0,top
C37,136.5,-86.75,180.0,top
C38,139.25,-52.495406,270.0,top
C39,137.5,-89.25,270.0,top
C4,184.563709,-126.303301,315.0,top
C40,131.0,-55.245406,0.0,top
C41,129.25,-86.5,0.0,top
C42,134.25,-54.745406,0.0,top
C43,130.75,-93.75,0.0,top
C44,129.75,-52.495406,270.0,top
C45,128.0,-89.25,270.0,top
C46,136.25,-71.94875,90.0,top
C47,134.0,-63.69875,0.0,top
C48,132.75,-74.69875,0.0,top
C49,128.25,-49.245406,180.0,top
C5,185.801146,-116.580582,225.0,top
C50,133.0,-61.69875,180.0,top
C51,126.5,-94.65,180.0,top
C52,131.75,-76.69875,180.0,top
C53,153.25,-64.25,0.0,top
C54,151.75,-67.75,0.0,top
C55,148.0,-77.25,0.0,top
C56,172.0,-57.9,90.0,top
C57,181.5,-61.9,90.0,top
C58,172.5,-70.75,90.0,top
C59,184.033378,-120.823223,225.0,top
C6,184.386932,-117.994796,225.0,top
C60,183.326272,-120.116116,225.0,top
C61,182.619165,-119.409009,225.0,top
C62,176.431981,-110.746952,135.0,top
C63,175.724874,-111.454058,135.0,top
C64,175.017767,-112.161165,135.0,top
C65,177.372433,-138.515035,135.0,top
C66,162.835786,-118.085786,225.0,top
C67,163.542892,-118.792893,225.0,top
C68,164.25,-119.5,225.0,top
C69,171.75,-132.5,0.0,top
C7,184.639088,-106.689341,135.0,top
C70,171.750001,-131.499999,0.0,top
C71,171.75,-130.5,0.0,top
C72,175.017767,-129.838834,225.0,top
C73,182.442389,-122.414213,225.0,top
C74,174.897559,-136.040161,315.0,top
C75,177.5,-114.0,315.0,top
C76,172.75,-111.25,0.0,top
C77,164.241461,-122.612203,135.0,top
C78,178.376525,-128.247844,225.0,top
C79,177.492641,-127.363961,225.0,top
C8,185.522971,-105.805457,135.0,top
C80,181.558505,-125.065864,225.0,top
C81,180.66048,-124.196123,225.0,top
C9,136.75,-128.25,180.0,top
D1,188.25,-70.5,180.0,top
D10,174.0,-51.65,270.0,top
D11,153.25,-62.0,0.0,top
D12,169.0,-51.65,270.0,top
D13,179.0,-51.65,270.0,top
D14,184.0,-51.65,90.0,top
D2,143.75,-113.95,90.0,top
D3,189.5,-76.25,180.0,top
