Designator,Mid X,Mid Y,Rotation,Layer
C1,69.25,-113.5104,0.0,top
C10,66.75,-110.2604,270.0,top
C11,101.25,-110.2604,270.0,top
C12,92.75,-110.2604,270.0,top
C13,70.25,-137.25,0.0,top
C14,76.25,-113.0104,180.0,top
C15,65.75,-113.0104,0.0,top
C16,102.25,-113.0104,180.0,top
C17,91.75,-113.0104,0.0,top
C18,76.0,-115.0,180.0,top
C19,66.0,-115.0,0.0,top
C2,72.75,-107.0104,0.0,top
C20,102.0,-115.0,180.0,top
C21,92.0,-115.0,0.0,top
C22,121.25,-113.5,0.0,top
C23,124.75,-107.0,0.0,top
C24,147.25,-113.5,0.0,top
C25,150.75,-107.0,0.0,top
C26,128.0,-106.0,0.0,top
C27,118.0,-106.0,180.0,top
C28,154.0,-106.0,0.0,top
C29,144.0,-106.0,180.0,top
C3,95.25,-113.5104,0.0,top
C30,127.25,-110.25,270.0,top
C31,118.75,-110.25,270.0,top
C32,153.25,-110.25,270.0,top
C33,144.75,-110.25,270.0,top
C34,128.25,-113.0,180.0,top
C35,117.75,-113.0,0.0,top
C36,154.25,-113.0,180.0,top
C37,143.75,-113.0,0.0,top
C38,128.0,-115.0,180.0,top
C39,118.0,-115.0,0.0,top
C4,98.75,-107.0104,0.0,top
C40,154.0,-115.0,180.0,top
C41,144.0,-115.0,0.0,top
C5,76.0,-106.0104,0.0,top
C6,66.0,-106.0104,180.0,top
C7,102.0,-106.0104,0.0,top
C8,92.0,-106.0104,180.0,top
C9,75.25,-110.2604,270.0,top
D1,74.0,-101.75,180.0,top
D10,65.25,-103.7604,0.0,top
D11,99.5,-103.7604,0.0,top
D12,91.25,-103.7604,0.0,top
D13,126.0,-101.75,180.0,top
D14,120.0,-101.75,180.0,top
D15,152.0,-101.75,180.0,top
D16,146.0,-101.75,180.0,top
D17,128.75,-103.75,0.0,top
D18,120.5,-103.75,0.0,top
D19,154.75,-103.75,0.0,top
D2,68.0,-101.75,180.0,top
D20,146.5,-103.75,0.0,top
D21,125.5,-103.75,0.0,top
D22,117.25,-103.75,0.0,top
D23,151.5,-103.75,0.0,top
D24,143.25,-103.75,0.0,top
D3,100.0,-101.75,180.0,top
D4,94.0,-101.75,180.0,top
D5,76.75,-103.7604,0.0,top
D6,68.5,-103.7604,0.0,top
D7,102.75,-103.7604,0.0,top
D8,94.5,-103.7604,0.0,top
D9,73.5,-103.7604,0.0,top
J1,121.43,-124.4975,270.0,top
J2,98.57,-137.0025,90.0,top
J3,67.19,-93.47,90.0,top
J4,93.19,-93.47,90.0,top
J5,119.19,-93.47,90.0,top
J6,145.19,-93.47,90.0,top
R1,72.75,-105.2604,180.0,top
R10,76.25,-110.2604,270.0,top
R11,65.75,-110.2604,270.0,top
R12,102.25,-110.2604,270.0,top
R13,91.75,-110.2604,270.0,top
R14,75.75,-111.7604,0.0,top
R15,66.25,-111.7604,180.0,top
R16,101.75,-111.7604,0.0,top
R17,92.25,-111.7604,180.0,top
R18,124.75,-105.25,180.0,top
R19,121.25,-105.25,0.0,top
R2,69.25,-105.2604,0.0,top
R20,150.75,-105.25,180.0,top
R21,147.25,-105.25,0.0,top
R22,127.25,-108.25,270.0,top
R23,118.75,-108.25,270.0,top
R24,153.25,-108.25,270.0,top
R25,144.75,-108.25,270.0,top
R26,128.25,-110.25,270.0,top
R27,117.75,-110.25,270.0,top
R28,154.25,-110.25,270.0,top
R29,143.75,-110.25,270.0,top
R3,98.75,-105.2604,180.0,top
R30,127.75,-111.75,0.0,top
R31,118.25,-111.75,180.0,top
R32,153.75,-111.75,0.0,top
R33,144.25,-111.75,180.0,top
R4,95.25,-105.2604,0.0,top
R5,75.25,-108.2604,270.0,top
R6,66.75,-108.2604,270.0,top
R7,101.25,-108.2604,270.0,top
R8,92.75,-108.2604,270.0,top
R9,70.25,-136.25,0.0,top
U1,71.0,-110.2604,180.0,top
U2,97.0,-110.2604,180.0,top
U3,123.0,-110.25,180.0,top
U4,149.0,-110.25,180.0,top
