Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C13, C2, C26, C27, C28, C29, C3, C4",0402,9,100n,C307331
"C10, C11, C12, C34, C35, C36, C37, C9",0402,8,330p,C13533
"C14, C15, C16, C17, C38, C39, C40, C41",0603,8,33n,C21117
"C18, C19, C20, C21, C22, C23, C24, C25, C30, C31, C32, C33, C42, C43, C44, C45, C46, C47, C48, C49, C5, C6, C7, C8",1206,24,10u,C13585
"D1, D13, D14, D15, D16, D2, D3, D4",DFN1006-2,8,H5VL10B,C7420372
"D10, D11, D12, D17, D18, D19, D20, D21, D22, D23, D24, D5, D6, D7, D8, D9",D_SOD-323,16,SD103AWS,C7420360
"H1, H2",MountingHole_3.2mm_M3_Pad_Via,2,MountingHole_Pad,-
J1,IDC-Header_2x10_P2.54mm_Vertical,1,IDC,-
"J2, J3, J4, J5",Kobiconn_156-4219-E,4,RCA x2,-
"R1, R18, R19, R2, R20, R21, R3, R4",0402,8,100k,C25741
"R10, R11, R12, R13, R26, R27, R28, R29, R9",0402,9,10k,C25744
"R14, R15, R16, R17, R30, R31, R32, R33",0402,8,47R,C25118
"R22, R23, R24, R25, R5, R6, R7, R8",0402,8,20k,C25765
"U1, U2, U3, U4",SOIC-8_3.9x4.9mm_P1.27mm,4,NE5532,C7426
