Designator,Mid X,Mid Y,Rotation,Layer
C1,80.5,-113.5104,0.0,top
C10,86.5,-110.2604,270.0,top
C11,96.5,-110.2604,270.0,top
C12,105.0,-110.2604,270.0,top
C13,77.0,-113.0104,0.0,top
C14,87.5,-113.0104,180.0,top
C15,95.5,-113.0104,0.0,top
C16,106.0,-113.0104,180.0,top
C17,77.25,-115.0104,0.0,top
C18,87.25,-115.0104,180.0,top
C19,95.5,-115.0104,0.0,top
C2,84.0,-107.0104,0.0,top
C20,105.75,-115.0104,180.0,top
C21,80.25,-125.5,0.0,top
C22,117.5,-113.5,0.0,top
C23,121.0,-107.0,0.0,top
C24,136.0,-113.5,0.0,top
C25,139.5,-107.0,0.0,top
C26,114.25,-106.0,180.0,top
C27,124.25,-106.0,0.0,top
C28,132.75,-106.0,180.0,top
C29,142.75,-106.0,0.0,top
C3,99.0,-113.5104,0.0,top
C30,115.0,-110.25,270.0,top
C31,123.5,-110.25,270.0,top
C32,133.5,-110.25,270.0,top
C33,142.0,-110.25,270.0,top
C34,114.0,-113.0,0.0,top
C35,124.5,-113.0,180.0,top
C36,132.5,-113.0,0.0,top
C37,143.0,-113.0,180.0,top
C38,114.25,-115.0,0.0,top
C39,124.25,-115.0,180.0,top
C4,102.5,-107.0104,0.0,top
C40,132.75,-115.0,0.0,top
C41,142.75,-115.0,180.0,top
C5,77.25,-106.0104,180.0,top
C6,87.25,-106.0104,0.0,top
C7,95.75,-106.0104,180.0,top
C8,105.75,-106.0104,0.0,top
C9,78.0,-110.2604,270.0,top
D1,78.5,-100.5,180.0,top
D10,84.75,-103.7604,0.0,top
D11,95.0,-103.7604,0.0,top
D12,103.25,-103.7604,0.0,top
D13,115.5,-100.5,180.0,top
D14,123.0,-100.5,180.0,top
D15,134.0,-100.5,180.0,top
D16,141.5,-100.5,180.0,top
D17,116.75,-103.75,0.0,top
D18,125.0,-103.75,0.0,top
D19,135.25,-103.75,0.0,top
D2,86.0,-100.5,180.0,top
D20,143.5,-103.75,0.0,top
D21,113.5,-103.75,0.0,top
D22,121.75,-103.75,0.0,top
D23,132.0,-103.75,0.0,top
D24,140.25,-103.75,0.0,top
D3,97.0,-100.5,180.0,top
D4,104.5,-100.5,180.0,top
D5,79.75,-103.7604,0.0,top
D6,88.0,-103.7604,0.0,top
D7,98.25,-103.7604,0.0,top
D8,106.5,-103.7604,0.0,top
D9,76.5,-103.7604,0.0,top
J1,103.15,-123.0129,90.0,top
J2,82.25,-85.0,0.0,top
J3,100.75,-85.0,0.0,top
J4,119.25,-85.0,0.0,top
J5,137.75,-85.0,0.0,top
R1,80.5,-105.2604,0.0,top
R10,87.5,-110.2604,270.0,top
R11,95.5,-110.2604,270.0,top
R12,106.0,-110.2604,270.0,top
R13,77.5,-111.7604,180.0,top
R14,87.0,-111.7604,0.0,top
R15,96.0,-111.7604,180.0,top
R16,105.5,-111.7604,0.0,top
R17,80.25,-124.5,0.0,top
R18,117.5,-105.25,0.0,top
R19,121.0,-105.25,180.0,top
R2,84.0,-105.2604,180.0,top
R20,136.0,-105.25,0.0,top
R21,139.5,-105.25,180.0,top
R22,115.0,-108.25,270.0,top
R23,123.5,-108.25,270.0,top
R24,133.5,-108.25,270.0,top
R25,142.0,-108.25,270.0,top
R26,114.0,-110.25,270.0,top
R27,124.5,-110.25,270.0,top
R28,132.5,-110.25,270.0,top
R29,143.0,-110.25,270.0,top
R3,99.0,-105.2604,0.0,top
R30,114.5,-111.75,180.0,top
R31,124.0,-111.75,0.0,top
R32,133.0,-111.75,180.0,top
R33,142.5,-111.75,0.0,top
R4,102.5,-105.2604,180.0,top
R5,78.0,-108.2604,270.0,top
R6,86.5,-108.2604,270.0,top
R7,96.5,-108.2604,270.0,top
R8,105.0,-108.2604,270.0,top
R9,77.0,-110.2604,270.0,top
U1,82.25,-110.2604,180.0,top
U2,100.75,-110.2604,180.0,top
U3,119.25,-110.25,180.0,top
U4,137.75,-110.25,180.0,top
