Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C13, C14, C15, C16, C2, C22, C23, C24, C25, C3, C34, C35, C36, C37, C4",1206,16,10u,C13585
"C10, C11, C12, C30, C31, C32, C33, C9",0603,8,33n,C21117
"C17, C18, C19, C20, C21, C38, C39, C40, C41",0402,9,100n,C307331
"C26, C27, C28, C29, C5, C6, C7, C8",0402,8,330p,C13533
"D1, D2, D3, D4, D5, D6, D7, D8",D_SMB,8,P6SMB6.8CA,C78395
"H1, H2",MountingHole_3.2mm_M3_Pad_Via,2,MountingHole_Pad,-
J1,IDC-Header_2x07_P2.54mm_Vertical,1,IDC,-
"J2, J3, J4, J5",Kobiconn_156-4219-E,4,RCA x2,-
"R1, R17, R18, R19, R2, R20, R21, R3, R4",0402,9,10k,C25744
"R10, R11, R12, R26, R27, R28, R29, R9",0402,8,47R,C25118
"R13, R14, R15, R16, R30, R31, R32, R33",0402,8,100k,C25741
"R22, R23, R24, R25, R5, R6, R7, R8",0402,8,20k,C25765
"U1, U2, U3, U4",SOIC-8_3.9x4.9mm_P1.27mm,4,NE5532,C7426
