Designator,Mid X,Mid Y,Rotation,Layer
C1,77.25,-113.0,180.0,top
C10,87.5,-105.9896,180.0,top
C11,95.5,-106.0,0.0,top
C12,106.0,-106.0,180.0,top
C13,77.25,-103.9896,0.0,top
C14,87.25,-104.0,180.0,top
C15,95.75,-104.0,0.0,top
C16,105.75,-104.0,180.0,top
C17,84.0,-105.5,180.0,top
C18,80.5,-112.0,180.0,top
C19,102.5,-105.5,180.0,top
C2,87.25,-113.0,0.0,top
C20,99.0,-112.0,180.0,top
C21,80.25,-125.5,0.0,top
C22,114.25,-113.0,180.0,top
C23,124.25,-113.0,0.0,top
C24,132.75,-113.0,180.0,top
C25,142.75,-113.0,0.0,top
C26,115.0,-108.75,90.0,top
C27,123.5,-108.75,90.0,top
C28,133.5,-108.75,90.0,top
C29,142.0,-108.75,90.0,top
C3,95.75,-113.0,180.0,top
C30,114.0,-106.0,0.0,top
C31,124.5,-106.0,180.0,top
C32,132.5,-106.0,0.0,top
C33,143.0,-106.0,180.0,top
C34,114.25,-104.0,0.0,top
C35,124.25,-104.0,180.0,top
C36,132.75,-104.0,0.0,top
C37,142.75,-104.0,180.0,top
C38,121.0,-105.5,180.0,top
C39,117.5,-112.0,180.0,top
C4,105.75,-113.0,0.0,top
C40,139.5,-105.5,180.0,top
C41,136.0,-112.0,180.0,top
C5,78.0,-108.7396,90.0,top
C6,86.5,-108.7396,90.0,top
C7,96.5,-108.75,90.0,top
C8,105.0,-108.75,90.0,top
C9,77.0,-105.9896,0.0,top
D1,78.5,-100.5,180.0,top
D2,86.0,-100.5,180.0,top
D3,97.0,-100.5,180.0,top
D4,104.5,-100.5,180.0,top
D5,115.5,-100.5,180.0,top
D6,123.0,-100.5,180.0,top
D7,134.0,-100.5,180.0,top
D8,141.5,-100.5,180.0,top
J1,103.15,-123.0129,90.0,top
J2,82.25,-85.0,0.0,top
J3,100.75,-85.0,0.0,top
J4,119.25,-85.0,0.0,top
J5,137.75,-85.0,0.0,top
R1,78.0,-110.75,90.0,top
R10,87.0,-107.2396,0.0,top
R11,96.0,-107.25,180.0,top
R12,105.5,-107.25,0.0,top
R13,80.5,-103.4896,0.0,top
R14,84.0,-103.4896,180.0,top
R15,99.0,-103.5,0.0,top
R16,102.5,-103.5,180.0,top
R17,80.25,-124.5,0.0,top
R18,115.0,-110.75,90.0,top
R19,123.5,-110.75,90.0,top
R2,86.5,-110.75,90.0,top
R20,133.5,-110.75,90.0,top
R21,142.0,-110.75,90.0,top
R22,114.0,-108.75,90.0,top
R23,124.5,-108.75,90.0,top
R24,132.5,-108.75,90.0,top
R25,143.0,-108.75,90.0,top
R26,114.5,-107.25,180.0,top
R27,124.0,-107.25,0.0,top
R28,133.0,-107.25,180.0,top
R29,142.5,-107.25,0.0,top
R3,96.5,-110.75,90.0,top
R30,117.5,-103.5,0.0,top
R31,121.0,-103.5,180.0,top
R32,136.0,-103.5,0.0,top
R33,139.5,-103.5,180.0,top
R4,105.0,-110.75,90.0,top
R5,77.0,-108.7396,90.0,top
R6,87.5,-108.7396,90.0,top
R7,95.5,-108.75,90.0,top
R8,106.0,-108.75,90.0,top
R9,77.5,-107.2396,180.0,top
U1,82.25,-108.75,0.0,top
U2,100.75,-108.75,0.0,top
U3,119.25,-108.75,0.0,top
U4,137.75,-108.75,0.0,top
