Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C17, C18, C19, C2, C26, C27, C33, C48, C49, C50, C51, C60, C63, C67, C7, C70, C72, C73, C75, C76, C77, C79, C81",0402,24,100n,
"C10, C11, C12, C36, C37, C9",0402,6,100p,
"C13, C14, C15, C16, C23, C24, C31, C32",1206,8,1u,
"C20, C21, C40, C41, C42, C43",0402,6,22p,
"C22, C25, C28, C29, C30, C65, C74, C78, C8, C80",0603,10,10u,
C3,0402,1,150p,
"C34, C35, C38, C39",0603,4,1n,
C4,0603,1,5n6,
"C44, C45, C46, C47",1206,4,10u,
"C5, C6",0402,2,27p,
"C52, C53, C54, C55, C56, C57, C58",0805,7,1u,
"C59, C62, C66, C69",0402,4,1u,
"C61, C64, C68, C71",0402,4,10n,
"D1, D10, D11, D12, D13, D14, D15, D2, D3, D4, D5, D6, D8, D9",D_SMB,14,P6SMB6.8CA,
"D16, D17, D18, D19, D20, D7",0603,6,LED,
"FB1, FB2, FB3, FB4, FB5, FB6, FB7, FB8, FB9",0805,9,600R@100MHz,
"H1, H2, H3, H4",MountingHole_3.2mm_M3_ISO7380,4,MountingHole,
J1,PinHeader_1x05_P1.27mm_Vertical,1,Header,
J10,PinHeader_1x02_P1.27mm_Vertical,1,Header,
J11,IDC-Header_2x05_P2.54mm_Horizontal,1,Programming,
"J12, J13",Jack_XLR_Neutrik_NC3FAAH2_Horizontal,2,NC3FAAH2,
"J14, J15",Jack_XLR_Neutrik_NC3MAAH_Horizontal,2,NC3MAAH,
J16,BarrelJack_CUI_PJ-079BH_Horizontal,1,Barrel_Jack_Switch,
"J2, J3",PinHeader_2x09_P1.27mm_Vertical,2,Header,
J4,PinHeader_1x04_P1.27mm_Vertical,1,Header,
"J5, J6",PinHeader_2x05_P1.27mm_Vertical,2,Header,
"J7, J9",PinHeader_2x03_P1.27mm_Vertical,2,Header,
J8,PinHeader_2x04_P1.27mm_Vertical,1,Header,
"JP1, JP2",SolderJumper-3_P1.3mm_Bridged12_RoundedPad1.0x1.5mm,2,Jumper,
"JP3, JP4",SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,2,Jumper,
"JP5, JP6",SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,2,Jumper,
Q1,TO-252-2,1,NSS1C300ET4G,
"Q2, Q3",SOT-23,2,MMBT3904,
"R1, R10, R11, R12, R17, R2, R24, R25, R26, R27, R3, R4, R40, R41, R42, R5, R6, R7, R8, R9",0402,20,100R,
"R14, R16, R19, R72, R73, R74, R75",0402,7,1k,
"R15, R36, R37, R38, R39, R45, R52, R53, R54, R55, R56, R57, R58, R59",0402,14,10k,
R18,0603,1,4k3,
"R20, R21, R22, R23, R28, R29, R30, R31, R43, R44",0402,10,100k,
"R32, R33, R34, R35, R60, R61, R62, R63, R64, R65, R66, R67",0402,12,20k,
"R46, R47, R80",0603,3,3k6,
"R48, R49",0402,2,18k,
"R50, R51",0402,2,5k1,
"R68, R69, R70, R71",0402,4,47R,
"R76, R79, R83",0402,3,1k2,
R77,0402,1,8k2,
R78,0603,1,1k5,
R81,0603,1,430R,
"R82, R84",0603,2,2k,
R85,0603,1,240R,
R86,0603,1,82R,
"R87, R88",0402,2,1R,
"RV1, RV2",Potentiometer_Nidec_ST4ETB_Vertical,2,1k,
SW1,TS-1187A-B-A-B,1,TS-1187A-B-A-B,
SW2,CJS-1201TB,1,CJS-1201TB,
"TP1, TP2",TestPoint_Keystone_5019_Minature,2,TestPoint,
"TP3, TP4, TP5, TP6, TP7",TestPoint_Pad_D1.0mm,5,TestPoint_Small,
U1,ADAU1463,1,ADAU1463,
U10,SSOP-16_3.9x4.9mm_P0.635mm,1,PCM1754,
"U11, U12, U4, U5, U6, U8, U9",SOIC-8_3.9x4.9mm_P1.27mm,7,NE5532,
"U13, U14, U15",TO-252-2,3,LM317_TO-252,
U2,SOT-143_Handsoldering,1,ADM811,
U3,SOIC-8_3.9x4.9mm_P1.27mm,1,M95M01-R,
U7,TSSOP-14_4.4x5mm_P0.65mm,1,PCM1808,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,830105957509,
