Designator,Mid X,Mid Y,Rotation,Layer
C1,189.0,-71.5,0.0,top
C10,125.25,-117.0,0.0,top
C11,134.5,-138.0,180.0,top
C12,125.25,-127.75,0.0,top
C13,136.75,-115.75,90.0,top
C14,125.25,-115.25,0.0,top
C15,136.75,-136.25,90.0,top
C16,125.25,-129.5,0.0,top
C17,133.75,-109.25,180.0,top
C18,134.5,-128.75,90.0,top
C19,135.25,-124.75,90.0,top
C2,175.0,-74.25,180.0,top
C20,132.75,-117.5,180.0,top
C21,132.5,-128.0,180.0,top
C22,146.5,-140.0,180.0,top
C23,139.0,-120.25,0.0,top
C24,139.0,-125.25,0.0,top
C25,146.5,-138.5,180.0,top
C26,147.25,-137.0,180.0,top
C27,149.5,-137.0,0.0,top
C28,150.25,-138.5,0.0,top
C29,148.5,-87.25,0.0,top
C3,182.44239,-126.656854,45.0,top
C30,148.5,-88.75,0.0,top
C31,139.5,-59.25,180.0,top
C32,134.5,-98.5,180.0,top
C33,148.5,-90.5,0.0,top
C34,136.0,-49.75,0.0,top
C35,131.0,-89.0,0.0,top
C36,140.0,-49.5,270.0,top
C37,135.0,-88.75,270.0,top
C38,136.25,-91.25,270.0,top
C39,141.25,-52.0,270.0,top
C4,184.563709,-126.303301,315.0,top
C40,137.5,-72.0,0.0,top
C41,137.5,-61.5,0.0,top
C42,137.5,-86.0,0.0,top
C43,137.5,-75.5,0.0,top
C44,130.5,-72.25,180.0,top
C45,130.5,-64.25,180.0,top
C46,130.75,-86.25,180.0,top
C47,130.5,-78.25,180.0,top
C48,134.5,-52.25,270.0,top
C49,129.5,-91.5,270.0,top
C5,185.801146,-116.580582,225.0,top
C50,135.5,-64.73,270.0,top
C51,135.5,-78.75,270.0,top
C52,155.75,-61.75,0.0,top
C53,156.25,-66.25,0.0,top
C54,148.25,-73.75,180.0,top
C55,148.5,-84.75,180.0,top
C56,167.5,-73.25,180.0,top
C57,171.5,-63.75,180.0,top
C58,179.75,-66.5,270.0,top
C59,184.033378,-120.823223,225.0,top
C6,184.386932,-117.994796,225.0,top
C60,183.326272,-120.116116,225.0,top
C61,182.619165,-119.409009,225.0,top
C62,176.431981,-110.746952,135.0,top
C63,175.724874,-111.454058,135.0,top
C64,175.017767,-112.161165,135.0,top
C65,177.372433,-138.515035,135.0,top
C66,162.835786,-118.085786,225.0,top
C67,163.542892,-118.792893,225.0,top
C68,164.25,-119.5,225.0,top
C69,171.75,-132.5,0.0,top
C7,184.639088,-106.689341,135.0,top
C70,171.750001,-131.499999,0.0,top
C71,171.75,-130.5,0.0,top
C72,175.017767,-129.838834,225.0,top
C73,182.442389,-122.414213,225.0,top
C74,174.897559,-136.040161,315.0,top
C75,177.5,-114.0,315.0,top
C76,172.75,-111.25,0.0,top
C77,164.241461,-122.612203,135.0,top
C78,178.376525,-128.247844,225.0,top
C79,177.492641,-127.363961,225.0,top
C8,185.522971,-105.805457,135.0,top
C80,181.558505,-125.065864,225.0,top
C81,180.66048,-124.196123,225.0,top
C9,139.0,-115.75,0.0,top
D1,189.0,-68.75,180.0,top
D10,125.0,-134.5,90.0,top
D11,125.0,-122.5,90.0,top
D12,125.0,-65.25,90.0,top
D13,128.25,-58.75,0.0,top
D14,125.0,-90.5,90.0,top
D15,125.0,-79.25,90.0,top
D16,171.5,-54.0,270.0,top
