Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C101, C102, C103, C110, C112, C113, C114, C115, C2, C20, C23, C27, C3, C30, C32, C33, C35, C36, C37, C39, C41, C43, C44, C46, C47, C48, C49, C54, C57, C6, C60, C61, C62, C69, C70, C71, C78, C79, C80, C81, C86, C89, C92, C93, C94",0402,46,100n,C307331
"C10, C11, C12, C13, C14, C15",0805,6,22u,C45783
"C100, C107, C108, C109, C111, C116, C25, C34, C38, C40, C42, C45, C50, C51, C52, C53, C56, C59, C66, C67, C68, C75, C76, C77, C82, C83, C84, C85, C88, C9, C91, C98, C99",0603,33,10u,C96446
"C104, C105, C106, C55, C58, C63, C64, C65, C72, C73, C74, C87, C90, C95, C96, C97",0603,16,4u7,C19666
"C117, C118, C7, C8",0402,4,27p,C1557
"C16, C17, C18",0805,3,1u,C28323
"C19, C22, C26, C29",0402,4,1u,C52923
"C21, C24, C28, C31",0402,4,10n,C15195
C4,0402,1,150p,C1527
C5,0603,1,5n6,-
"D1, D10, D11, D12, D16, D17, D18, D19, D2, D20, D21, D3, D4, D5, D6, D7, D8, D9",D_SMB,18,P6SMB6.8CA,C78395
D13,PinHeader_1x02_P1.27mm_Vertical,1,LED,-
"D14, D15",0603,2,LED,C72041
"FB1, FB2, FB3, FB4, FB5",0805,5,600R@100MHz,-
"H1, H2, H3, H4",MountingHole_3.2mm_M3_Pad_Via,4,MountingHole,-
J11,IDC-Header_2x05_P2.54mm_Horizontal,1,Programming,-
J12,JST_VH_B4P-VH_1x04_P3.96mm_Vertical,1,B4P-VH,-
"J13, J15, J17, J19",IDC-Header_2x10_P2.54mm_Vertical,4,IDC,-
"J14, J16, J18, J20",IDC-Header_2x07_P2.54mm_Vertical,4,IDC,-
J23,PinHeader_2x07_P1.27mm_Vertical,1,Header,-
JP1,PinHeader_1x03_P2.54mm_Vertical,1,Jumper,-
Q1,TO-252-2 thermal vias,1,NSS1C300ET4G,-
"Q2, Q3, Q4",SOT-23,3,2N7002,C8545
"R1, R32, R89, R92, R95",0402,5,100k,C25741
"R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R20, R21, R22, R23, R24, R25, R26, R3, R35, R4, R49, R5, R50, R51, R52, R53, R54, R55, R56, R57, R58, R59, R6, R60, R61, R62, R63, R64, R65, R66, R67, R68, R69, R7, R70, R71, R72, R8, R84, R85, R9",0402,51,33R,C25105
"R2, R27, R73, R74, R75, R76, R77, R78, R79, R81, R83, R86, R87",0402,13,10k,C25744
"R28, R29, R30, R31, R34, R38, R47, R48",0402,8,1k,C11702
"R36, R88, R91, R94",0402,4,100R,C25076
R37,0603,1,4k3,C23159
"R39, R41",0402,2,1k2,C25862
"R40, R42",0603,2,2k,C22975
"R43, R44",0603,2,82R,C23255
"R45, R46",0402,2,1R,C25086
"R80, R82",0402,2,2k2,C25879
SW1,EG4208,1,SW_4PDT,-
"SW2, SW3",TS-1187A-B-A-B,2,TS-1187A-B-A-B,C318884
"TP10, TP11, TP12, TP13, TP14, TP15, TP16, TP17, TP18, TP19, TP20, TP21, TP22, TP23, TP24, TP25, TP4, TP5, TP6, TP7, TP8, TP9",TestPoint_Pad_D1.0mm,22,TestPoint,-
U1,ADAU1463,1,ADAU1467,-
"U10, U11, U12, U13, U14, U7, U8, U9",QFN-32-1EP_5x5mm_P0.5mm_EP3.7x3.7mm_ThermalVias,8,AK4619,-
U15,LQFP-48_7x7mm_P0.5mm,1,STM32F030C8Tx,C23922
U2,SOT-143_Handsoldering,1,ADM811,-
U3,SOIC-8_3.9x4.9mm_P1.27mm,1,M95M01-R,-
"U4, U5",TO-252-2 thermal vias,2,LM317_TO-252,C75510
U6,TSSOP-16_4.4x5mm_P0.65mm,1,PL123-09OC,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,830105957509,-
Y2,Crystal_SMD_5032-2Pin_5.0x3.2mm,1,8MHz,C115962
