Designator,Mid X,Mid Y,Rotation,Layer
C1,184.75,-51.02,180.0,top
C10,150.25,-52.25,0.0,top
C100,141.190987,-64.716116,135.0,top
C101,141.19099,-76.416116,135.0,top
C102,141.25,-88.25,135.0,top
C103,132.735913,-69.289215,315.0,top
C104,132.714467,-81.017767,315.0,top
C105,132.714466,-92.767767,315.0,top
C106,130.0,-68.5,180.0,top
C107,130.0,-80.25,180.0,top
C108,130.0,-92.0,180.0,top
C109,130.0,-70.0,180.0,top
C11,148.0,-48.25,0.0,top
C110,130.0,-81.75,180.0,top
C111,129.999999,-93.5,180.0,top
C112,185.25,-135.9,270.0,top
C113,178.035534,-126.928932,315.0,top
C114,175.0,-140.5,45.0,top
C115,179.626524,-137.005204,45.0,top
C116,176.798097,-128.166369,135.0,top
C117,172.555456,-140.187184,315.0,top
C118,181.217514,-137.889087,225.0,top
C119,177.328427,-140.363961,225.0,top
C12,131.25,-50.25,180.0,top
C120,178.742641,-138.949747,45.0,top
C13,131.25,-48.25,180.0,top
C14,166.0,-62.0,90.0,top
C15,167.0,-59.0,180.0,top
C16,175.0,-53.5,0.0,top
C17,115.85,-52.5,270.0,top
C18,118.0,-55.0,90.0,top
C19,168.0,-69.25,270.0,top
C2,184.65,-65.4,0.0,top
C20,167.0,-72.5,0.0,top
C21,177.533378,-99.823223,225.0,top
C22,176.826272,-99.116116,225.0,top
C23,176.119165,-98.409009,225.0,top
C24,169.931981,-89.746952,135.0,top
C25,169.224874,-90.454058,135.0,top
C26,168.517767,-91.161165,135.0,top
C27,170.872433,-117.515035,135.0,top
C28,155.249999,-98.5,270.0,top
C29,156.249999,-98.500001,270.0,top
C3,176.75,-105.75,315.0,top
C30,157.25,-98.5,270.0,top
C31,165.25,-111.5,0.0,top
C32,165.250001,-110.499999,0.0,top
C33,165.25,-109.5,0.0,top
C34,168.517767,-108.838834,225.0,top
C35,175.942389,-101.414213,225.0,top
C36,168.397559,-115.040161,315.0,top
C37,171.0,-93.0,315.0,top
C38,166.5,-90.5,0.0,top
C39,157.25,-101.25,90.0,top
C4,178.063709,-105.303301,315.0,top
C40,171.876525,-107.247844,225.0,top
C41,170.992641,-106.363961,225.0,top
C42,173.3,-105.5,135.0,top
C43,174.16048,-103.196123,225.0,top
C44,175.058505,-104.065864,225.0,top
C45,160.25,-61.999999,180.0,top
C46,160.25,-71.000001,180.0,top
C47,160.25,-59.5,180.0,top
C48,133.244796,-106.108756,225.0,top
C49,133.151938,-117.899069,225.0,top
C5,179.301146,-95.580582,225.0,top
C50,133.144867,-129.682309,225.0,top
C51,133.151939,-141.423124,225.0,top
C52,130.0,-106.75,180.0,top
C53,130.090989,-118.5,180.0,top
C54,130.09099,-130.25,180.0,top
C55,130.090991,-142.0,180.0,top
C56,139.65901,-100.883884,135.0,top
C57,140.25,-98.25,45.0,top
C58,141.5,-100.25,135.0,top
C59,132.714467,-104.517767,315.0,top
C6,177.886932,-96.994796,225.0,top
C60,130.0,-103.75,180.0,top
C61,130.0,-105.25,180.0,top
C62,139.65901,-112.633885,135.0,top
C63,139.659011,-124.383884,135.0,top
C64,139.65901,-136.133884,135.0,top
C65,140.0,-109.75,45.0,top
C66,140.0,-121.5,45.0,top
C67,140.0,-133.25,45.0,top
C68,141.25,-111.75,135.0,top
C69,141.25,-123.5,135.0,top
C7,178.616117,-86.883884,135.0,top
C70,141.25,-135.25,135.0,top
C71,132.714466,-116.267767,315.0,top
C72,132.714466,-128.017767,315.0,top
C73,132.714468,-139.767767,315.0,top
C74,130.09099,-115.5,180.0,top
C75,130.09099,-127.249999,180.0,top
C76,130.090991,-139.0,180.0,top
C77,130.09099,-117.0,180.0,top
C78,130.09099,-128.750001,180.0,top
C79,130.090991,-140.5,180.0,top
C8,175.0,-72.25,180.0,top
C80,133.249999,-59.25,225.0,top
C81,133.244796,-70.858757,225.0,top
C82,133.244796,-82.608757,225.0,top
C83,133.112291,-94.387708,225.0,top
C84,130.0,-59.75,180.0,top
C85,130.0,-71.5,180.0,top
C86,130.0,-83.25,180.0,top
C87,129.999999,-95.0,180.0,top
C88,139.55,-53.85,135.0,top
C89,144.4,-54.85,0.0,top
C9,179.5,-86.0,135.0,top
C90,141.5,-54.3,45.0,top
C91,132.714466,-57.517767,315.0,top
C92,130.0,-56.75,180.0,top
C93,130.0,-58.25,180.0,top
C94,139.6,-65.6,135.0,top
C95,139.6,-77.3,135.0,top
C96,139.659011,-89.133884,135.0,top
C97,139.940988,-62.668109,45.0,top
C98,140.046689,-74.342704,45.0,top
C99,140.0,-86.25,45.0,top
D1,190.3,-73.0,270.0,top
FB1,136.25,-50.0,180.0,top
FB2,136.25,-48.25,180.0,top
FB3,168.0,-62.0,90.0,top
FB4,166.0,-69.25,270.0,top
FB5,175.15,-108.35,315.0,top
J12,154.75,-51.25,0.0,top
J13,121.75,-108.75,270.0,top
J14,118.16,-118.7475,270.0,top
J15,121.75,-131.21,270.0,top
J16,122.96,-141.21,270.0,top
J17,121.75,-63.75,270.0,top
J18,118.12,-73.71,270.0,top
J19,121.68,-86.25,270.0,top
J20,118.12,-96.21,270.0,top
J23,151.175,-141.875,90.0,top
J7,187.46,-84.75,0.0,top
JP2,172.5,-125.0,225.0,top
Q1,174.945368,-115.266435,315.0,top
Q2,171.25,-144.25,180.0,top
Q3,179.5,-109.5,90.0,top
Q4,183.0,-134.0,90.0,top
R1,186.7,-74.1,0.0,top
R10,163.0,-111.75,45.0,top
R11,156.5,-93.75,315.0,top
R12,155.75,-94.5,315.0,top
R13,155.0,-95.25,315.0,top
R14,154.25,-96.0,315.0,top
R15,165.5,-84.75,135.0,top
R16,164.75,-85.5,135.0,top
R17,164.0,-86.25,135.0,top
R18,163.25,-87.0,135.0,top
R19,162.5,-87.75,135.0,top
R2,185.25,-93.0,270.0,top
R20,161.749999,-88.5,135.0,top
R21,161.0,-89.25,135.0,top
R22,160.25,-90.0,135.0,top
R23,159.5,-90.75,135.0,top
R24,158.75,-91.5,135.0,top
R25,158.0,-92.25,135.0,top
R26,157.249999,-93.0,135.0,top
R27,173.1,-85.15,45.0,top
R28,186.65,-73.0,0.0,top
R29,184.75,-52.0,180.0,top
R3,157.0,-105.75,45.0,top
R30,182.85,-112.35,0.0,top
R31,184.75,-120.5,0.0,top
R33,169.931981,-110.253048,45.0,top
R34,184.65,-66.4,0.0,top
R35,175.739376,-95.05,45.0,top
R36,178.594039,-94.166369,315.0,top
R37,176.15,-106.9,135.0,top
R38,170.75,-74.75,0.0,top
R39,168.500001,-66.5,270.0,top
R4,157.75,-106.5,45.0,top
R40,167.500001,-66.499999,270.0,top
R41,172.5,-120.5,135.0,top
R42,173.17053,-119.813132,135.0,top
R43,156.75,-61.5,270.0,top
R44,156.75,-68.5,270.0,top
R45,162.75,-61.5,90.0,top
R46,161.75,-61.5,90.0,top
R47,161.8,-71.5,270.0,top
R48,162.8,-71.5,270.0,top
R49,158.75,-61.5,90.0,top
R5,158.75,-107.5,45.0,top
R50,157.75,-61.5,90.0,top
R51,157.75,-71.5,270.0,top
R52,158.75,-71.5,270.0,top
R53,140.8,-105.2,180.0,top
R54,140.4,-116.4,180.0,top
R55,141.8,-104.2,0.0,top
R56,141.4,-115.2,0.0,top
R57,141.0,-128.0,180.0,top
R58,140.6,-140.2,180.0,top
R59,142.2,-126.2,0.0,top
R6,159.5,-108.25,45.0,top
R60,141.4,-138.8,0.0,top
R61,140.25,-57.8,180.0,top
R62,140.4,-69.4,180.0,top
R63,141.2,-56.8,0.0,top
R64,141.6,-68.0,0.0,top
R65,140.8,-81.6,180.0,top
R66,140.6,-93.2,180.0,top
R67,140.8,-80.6,0.0,top
R68,141.0,-92.2,0.0,top
R69,138.5,-143.0,45.0,top
R7,160.5,-109.25,45.0,top
