"Designator","Footprint","Qty","Value","LCSC Part #",
"C1, C2, C7, C17, C18, C19, C25, C26, C27, C31, C32, C42, C43, C46, C60, C63, C67, C70, C72, C73, C75, C76, C77, C79, "C81","0402","25","100n","C1525",
"C3","0402","1","150p","C1527",
"C5, C6","0402","2","27p","C1557",
"C8, C24, C28, C29, C30, C35, C65, C74, C78, C80","0603","10","10u","C96446",
"C13, C14, C15, C16, C22, C23","1206","6","1u","C1848",
"C20, C21, C47, C48","0402","4","22p","C1555",
"C33, C34, C49, C50, C51, C52","1206","6","10u","C13585",
"C53, C54, C55, C56, C57, C58","0805","6","1u","C28323",
"C59, C62, C66, C69","0402","4","1u","C52923",
"C61, C64, C68, C71","0402","4","10n","C15195",
"D3, D10, D12, D13, D14","0603","5","LED","C72041",
"Q2, Q3","SOT-23","2","MMBT3904","C20526",
"R1, R2, R3, R4, R5, R6, R7, R8, R9, R10, R11, R12, R17, R24, R25, R26, R27, R40, R41, R42, R71","0402","21","100R","C25076",
"R13, R15, R28, R29, R30, R31","0402","6","100k","C25741",
"R14, R16, R19","0402","3","1k","C11702",
"R20, R21, R22, R23","0402","4","1Meg","C26083",
"R32, R33, R34, R35, R36, R37, R38, R39, R43, R56, R57, R58, R59","0402","13","4k7","C25900",
"R60, R61, R62, R63","0402","4","10R","C25077",
"R65","0603","1","390R","C23151",
"R66","0402","1","470R","C25117",
"R67","0402","1","1k2","C25862",
"R68","0402","1","120R","C25079",
"R70","0402","1","150R","C25082",
"SW1","TS-1187A-B-A-B","1","TS-1187A-B-A-B","C318884",
"U4, U5, U6, U9, U10, U11","SOIC-8","6","NE5532","C7426",
"U12, U13","TO-252","2","LM317_TO-252","C75510",
