#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321B21C9E
#Date Time: 2024-03-03 18:45:10.000
#Start: 10 Hz
#Stop: 20000 Hz
#Steps: 1001
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 32 
#Channel: Channel 1
#Range: 5.55361 V
#Offset: -0.000184537 V
#Relative: no
#Channel: Channel 2
#Range: 5.63147 V
#Offset: -0.000217631 V
#Relative: yes

Frequency (Hz),Channel 1 Magnitude (dB),Channel 1 Magnitude THD+N (dB),Channel 2 Magnitude (dB),Channel 2 Magnitude THD+N (dB),Channel 2 Phase (deg)
10.00000000000001,-0.1301855158252798,-61.22166234776876,-0.2672469535943892,-51.42793524799846,29.46388691876691
10.07629862646663,-0.1301127361832353,-61.26654490668667,-0.2620203546650395,-52.6031875871168,29.22055538105973
10.1531794009733,-0.1299268744593766,-61.2314357393112,-0.2573957197143394,-53.26629536610596,28.99329380932468
10.23064676522965,-0.1300319682310512,-61.10640597550201,-0.2525660852897866,-53.6911445284587,28.77234989921673
10.30870519483485,-0.1300596006429386,-59.97327505183212,-0.247523646081108,-53.97214480176483,28.55912400255454
10.38735919953637,-0.1300446027461232,-59.60078293728981,-0.2430251925753809,-54.22830801207067,28.34533646543194
10.46661332349036,-0.1300419066054593,-61.23939475479616,-0.2381990271961641,-54.92927030004061,28.1356110674564
10.54647214552432,-0.1301474969535247,-61.15105641122506,-0.233671498928703,-55.30083942675116,27.92691164451942
10.62694027940151,-0.1303116090488101,-60.28217008212165,-0.2289788580693459,-55.1568662792594,27.71994385317918
10.70802237408762,-0.1302688583210644,-61.28989480230029,-0.2246857653358328,-55.7361753199974,27.51545688717991
10.78972311401929,-0.1303430971490733,-61.19263774885567,-0.2202534152512422,-56.04873219948026,27.31256978146865
10.87204721937475,-0.130553678718425,-60.46970402230353,-0.2160922431853909,-55.90658491958331,27.11291888284271
10.9549994463466,-0.1303978039739936,-61.23824611884112,-0.2119470106194407,-56.42481247106797,26.91586401256443
11.03858458741647,-0.1302386106474209,-58.62519990479963,-0.2077256176852421,-55.6034250394534,26.71833921367075
11.12280747163202,-0.1303806364674649,-61.37148921844911,-0.2032661516653994,-56.88748727226574,26.52240148420793
11.20767296488584,-0.1305169929224484,-60.83665981072571,-0.1993806573631449,-56.85468275596725,26.32811915957031
